seed,swept_param,swept_value,total,category
P,age,20.0,0,P
P,age,21.3265306122449,0,P
P,age,22.653061224489797,0,P
P,age,23.979591836734695,0,P
P,age,25.306122448979593,0,P
P,age,26.632653061224488,0,P
P,age,27.959183673469386,0,P
P,age,29.285714285714285,0,P
P,age,30.612244897959183,0,P
P,age,31.93877551020408,0,P
P,age,33.265306122448976,0,P
P,age,34.59183673469388,0,P
P,age,35.91836734693877,0,P
P,age,37.244897959183675,0,P
P,age,38.57142857142857,0,P
P,age,39.897959183673464,0,P
P,age,41.224489795918366,0,P
P,age,42.55102040816327,0,P
P,age,43.87755102040816,0,P
P,age,45.20408163265306,0,P
P,age,46.53061224489796,0,P
P,age,47.857142857142854,0,P
P,age,49.183673469387756,0,P
P,age,50.51020408163265,0,P
P,age,51.836734693877546,0,P
P,age,53.16326530612245,0,P
P,age,54.48979591836734,0,P
P,age,55.816326530612244,0,P
P,age,57.14285714285714,0,P
P,age,58.46938775510204,0,P
P,age,59.795918367346935,0,P
P,age,61.12244897959184,1,P
P,age,62.44897959183673,1,P
P,age,63.77551020408163,1,P
P,age,65.10204081632654,1,P
P,age,66.42857142857142,1,P
P,age,67.75510204081633,1,P
P,age,69.08163265306122,1,P
P,age,70.40816326530611,1,P
P,age,71.73469387755102,1,P
P,age,73.06122448979592,1,P
P,age,74.38775510204081,1,P
P,age,75.71428571428571,1,P
P,age,77.0408163265306,1,P
P,age,78.36734693877551,1,P
P,age,79.6938775510204,1,P
P,age,81.0204081632653,1,P
P,age,82.34693877551021,1,P
P,age,83.67346938775509,1,P
P,age,85.0,1,P
P,pi,25.0,5,MD
P,pi,26.3265306122449,5,MD
P,pi,27.653061224489797,4,MD
P,pi,28.979591836734695,4,MD
P,pi,30.306122448979593,4,MD
P,pi,31.632653061224488,4,MD
P,pi,32.95918367346939,1,P
P,pi,34.285714285714285,1,P
P,pi,35.61224489795919,1,P
P,pi,36.93877551020408,1,P
P,pi,38.265306122448976,1,P
P,pi,39.59183673469388,1,P
P,pi,40.91836734693877,1,P
P,pi,42.244897959183675,1,P
P,pi,43.57142857142857,0,P
P,pi,44.897959183673464,0,P
P,pi,46.224489795918366,0,P
P,pi,47.55102040816327,0,P
P,pi,48.87755102040816,0,P
P,pi,50.20408163265306,0,P
P,pi,51.53061224489796,0,P
P,pi,52.857142857142854,0,P
P,pi,54.183673469387756,0,P
P,pi,55.51020408163265,0,P
P,pi,56.836734693877546,0,P
P,pi,58.16326530612245,0,P
P,pi,59.48979591836734,0,P
P,pi,60.816326530612244,0,P
P,pi,62.14285714285714,0,P
P,pi,63.46938775510204,3,MD
P,pi,64.79591836734693,3,MD
P,pi,66.12244897959184,3,MD
P,pi,67.44897959183673,3,MD
P,pi,68.77551020408163,3,MD
P,pi,70.10204081632654,3,MD
P,pi,71.42857142857142,3,MD
P,pi,72.75510204081633,5,MD
P,pi,74.08163265306122,5,MD
P,pi,75.40816326530611,5,MD
P,pi,76.73469387755102,6,MD
P,pi,78.06122448979592,6,MD
P,pi,79.38775510204081,6,MD
P,pi,80.71428571428571,6,MD
P,pi,82.0408163265306,6,MD
P,pi,83.36734693877551,6,MD
P,pi,84.6938775510204,6,MD
P,pi,86.0204081632653,6,MD
P,pi,87.34693877551021,6,MD
P,pi,88.67346938775509,6,MD
P,pi,90.0,6,MD
P,ss,5.0,3,MD
P,ss,6.224489795918368,3,MD
P,ss,7.448979591836735,3,MD
P,ss,8.673469387755102,3,MD
P,ss,9.89795918367347,3,MD
P,ss,11.122448979591837,3,MD
P,ss,12.346938775510203,3,MD
P,ss,13.571428571428571,3,MD
P,ss,14.795918367346939,3,MD
P,ss,16.02040816326531,3,MD
P,ss,17.244897959183675,3,MD
P,ss,18.46938775510204,3,MD
P,ss,19.693877551020407,3,MD
P,ss,20.918367346938776,3,MD
P,ss,22.142857142857142,3,MD
P,ss,23.367346938775512,3,MD
P,ss,24.591836734693878,2,P
P,ss,25.816326530612244,2,P
P,ss,27.040816326530614,2,P
P,ss,28.26530612244898,2,P
P,ss,29.48979591836735,2,P
P,ss,30.714285714285715,2,P
P,ss,31.93877551020408,0,P
P,ss,33.163265306122454,0,P
P,ss,34.38775510204081,0,P
P,ss,35.61224489795919,0,P
P,ss,36.83673469387755,0,P
P,ss,38.06122448979592,0,P
P,ss,39.285714285714285,0,P
P,ss,40.51020408163265,0,P
P,ss,41.734693877551024,0,P
P,ss,42.95918367346939,0,P
P,ss,44.183673469387756,1,P
P,ss,45.40816326530612,1,P
P,ss,46.63265306122449,1,P
P,ss,47.85714285714286,1,P
P,ss,49.08163265306123,1,P
P,ss,50.30612244897959,1,P
P,ss,51.53061224489796,1,P
P,ss,52.755102040816325,1,P
P,ss,53.9795918367347,1,P
P,ss,55.204081632653065,1,P
P,ss,56.42857142857143,1,P
P,ss,57.6530612244898,1,P
P,ss,58.87755102040816,1,P
P,ss,60.10204081632653,1,P
P,ss,61.3265306122449,1,P
P,ss,62.55102040816327,1,P
P,ss,63.775510204081634,1,P
P,ss,65.0,1,P
P,ll_l1s1,5.0,6,MD
P,ll_l1s1,6.63265306122449,6,MD
P,ll_l1s1,8.26530612244898,6,MD
P,ll_l1s1,9.89795918367347,6,MD
P,ll_l1s1,11.53061224489796,6,MD
P,ll_l1s1,13.16326530612245,6,MD
P,ll_l1s1,14.795918367346939,6,MD
P,ll_l1s1,16.42857142857143,6,MD
P,ll_l1s1,18.06122448979592,6,MD
P,ll_l1s1,19.693877551020407,6,MD
P,ll_l1s1,21.3265306122449,6,MD
P,ll_l1s1,22.95918367346939,6,MD
P,ll_l1s1,24.591836734693878,6,MD
P,ll_l1s1,26.224489795918366,6,MD
P,ll_l1s1,27.857142857142858,6,MD
P,ll_l1s1,29.48979591836735,6,MD
P,ll_l1s1,31.122448979591837,6,MD
P,ll_l1s1,32.755102040816325,6,MD
P,ll_l1s1,34.38775510204081,6,MD
P,ll_l1s1,36.02040816326531,5,MD
P,ll_l1s1,37.6530612244898,5,MD
P,ll_l1s1,39.285714285714285,5,MD
P,ll_l1s1,40.91836734693878,5,MD
P,ll_l1s1,42.55102040816327,5,MD
P,ll_l1s1,44.183673469387756,5,MD
P,ll_l1s1,45.816326530612244,5,MD
P,ll_l1s1,47.44897959183673,3,MD
P,ll_l1s1,49.08163265306123,0,P
P,ll_l1s1,50.714285714285715,0,P
P,ll_l1s1,52.3469387755102,0,P
P,ll_l1s1,53.9795918367347,0,P
P,ll_l1s1,55.61224489795919,0,P
P,ll_l1s1,57.244897959183675,0,P
P,ll_l1s1,58.87755102040816,0,P
P,ll_l1s1,60.51020408163265,0,P
P,ll_l1s1,62.142857142857146,0,P
P,ll_l1s1,63.775510204081634,0,P
P,ll_l1s1,65.40816326530611,0,P
P,ll_l1s1,67.04081632653062,0,P
P,ll_l1s1,68.6734693877551,0,P
P,ll_l1s1,70.3061224489796,0,P
P,ll_l1s1,71.93877551020408,3,MD
P,ll_l1s1,73.57142857142857,3,MD
P,ll_l1s1,75.20408163265306,3,MD
P,ll_l1s1,76.83673469387756,3,MD
P,ll_l1s1,78.46938775510205,3,MD
P,ll_l1s1,80.10204081632654,4,MD
P,ll_l1s1,81.73469387755102,4,MD
P,ll_l1s1,83.36734693877551,4,MD
P,ll_l1s1,85.0,4,MD
P,ll_l4s1,0.0,2,P
P,ll_l4s1,1.4285714285714286,2,P
P,ll_l4s1,2.857142857142857,2,P
P,ll_l4s1,4.285714285714286,2,P
P,ll_l4s1,5.714285714285714,2,P
P,ll_l4s1,7.142857142857143,2,P
P,ll_l4s1,8.571428571428571,2,P
P,ll_l4s1,10.0,2,P
P,ll_l4s1,11.428571428571429,2,P
P,ll_l4s1,12.857142857142858,2,P
P,ll_l4s1,14.285714285714286,2,P
P,ll_l4s1,15.714285714285715,2,P
P,ll_l4s1,17.142857142857142,2,P
P,ll_l4s1,18.571428571428573,2,P
P,ll_l4s1,20.0,2,P
P,ll_l4s1,21.42857142857143,2,P
P,ll_l4s1,22.857142857142858,2,P
P,ll_l4s1,24.285714285714285,1,P
P,ll_l4s1,25.714285714285715,1,P
P,ll_l4s1,27.142857142857142,1,P
P,ll_l4s1,28.571428571428573,1,P
P,ll_l4s1,30.0,0,P
P,ll_l4s1,31.42857142857143,0,P
P,ll_l4s1,32.85714285714286,0,P
P,ll_l4s1,34.285714285714285,0,P
P,ll_l4s1,35.714285714285715,0,P
P,ll_l4s1,37.142857142857146,0,P
P,ll_l4s1,38.57142857142857,0,P
P,ll_l4s1,40.0,0,P
P,ll_l4s1,41.42857142857143,0,P
P,ll_l4s1,42.85714285714286,0,P
P,ll_l4s1,44.285714285714285,0,P
P,ll_l4s1,45.714285714285715,0,P
P,ll_l4s1,47.142857142857146,0,P
P,ll_l4s1,48.57142857142857,3,MD
P,ll_l4s1,50.0,3,MD
P,ll_l4s1,51.42857142857143,3,MD
P,ll_l4s1,52.85714285714286,3,MD
P,ll_l4s1,54.285714285714285,3,MD
P,ll_l4s1,55.714285714285715,3,MD
P,ll_l4s1,57.142857142857146,3,MD
P,ll_l4s1,58.57142857142857,3,MD
P,ll_l4s1,60.0,3,MD
P,ll_l4s1,61.42857142857143,3,MD
P,ll_l4s1,62.85714285714286,3,MD
P,ll_l4s1,64.28571428571429,3,MD
P,ll_l4s1,65.71428571428572,3,MD
P,ll_l4s1,67.14285714285714,3,MD
P,ll_l4s1,68.57142857142857,3,MD
P,ll_l4s1,70.0,3,MD
P,gt,-15.0,1,P
P,gt,-13.46938775510204,1,P
P,gt,-11.938775510204081,1,P
P,gt,-10.408163265306122,1,P
P,gt,-8.877551020408163,1,P
P,gt,-7.346938775510204,1,P
P,gt,-5.816326530612246,1,P
P,gt,-4.2857142857142865,1,P
P,gt,-2.755102040816327,1,P
P,gt,-1.2244897959183678,1,P
P,gt,0.3061224489795915,1,P
P,gt,1.836734693877549,1,P
P,gt,3.3673469387755084,0,P
P,gt,4.897959183673468,0,P
P,gt,6.428571428571427,0,P
P,gt,7.959183673469386,0,P
P,gt,9.489795918367346,0,P
P,gt,11.020408163265305,0,P
P,gt,12.551020408163264,0,P
P,gt,14.081632653061224,0,P
P,gt,15.612244897959183,0,P
P,gt,17.14285714285714,0,P
P,gt,18.673469387755098,0,P
P,gt,20.204081632653057,1,P
P,gt,21.734693877551017,1,P
P,gt,23.265306122448976,1,P
P,gt,24.795918367346935,1,P
P,gt,26.326530612244895,1,P
P,gt,27.857142857142854,3,MD
P,gt,29.387755102040813,3,MD
P,gt,30.918367346938773,3,MD
P,gt,32.44897959183673,3,MD
P,gt,33.97959183673469,3,MD
P,gt,35.51020408163265,3,MD
P,gt,37.04081632653061,3,MD
P,gt,38.57142857142857,3,MD
P,gt,40.10204081632653,3,MD
P,gt,41.63265306122449,3,MD
P,gt,43.16326530612245,3,MD
P,gt,44.69387755102041,3,MD
P,gt,46.224489795918366,3,MD
P,gt,47.755102040816325,3,MD
P,gt,49.28571428571428,3,MD
P,gt,50.816326530612244,3,MD
P,gt,52.346938775510196,3,MD
P,gt,53.87755102040816,3,MD
P,gt,55.408163265306115,3,MD
P,gt,56.93877551020408,3,MD
P,gt,58.469387755102034,3,MD
P,gt,60.0,3,MD
MD,age,20.0,3,MD
MD,age,21.3265306122449,3,MD
MD,age,22.653061224489797,3,MD
MD,age,23.979591836734695,3,MD
MD,age,25.306122448979593,3,MD
MD,age,26.632653061224488,3,MD
MD,age,27.959183673469386,3,MD
MD,age,29.285714285714285,3,MD
MD,age,30.612244897959183,3,MD
MD,age,31.93877551020408,3,MD
