seed,swept_param,swept_value,total,category
center,cup_inclination,0.0,1,MIXED
center,cup_inclination,1.6326530612244898,1,MIXED
center,cup_inclination,3.2653061224489797,1,MIXED
center,cup_inclination,4.8979591836734695,1,MIXED
center,cup_inclination,6.530612244897959,1,MIXED
center,cup_inclination,8.16326530612245,1,MIXED
center,cup_inclination,9.795918367346939,1,MIXED
center,cup_inclination,11.428571428571429,1,MIXED
center,cup_inclination,13.061224489795919,1,MIXED
center,cup_inclination,14.693877551020408,1,MIXED
center,cup_inclination,16.3265306122449,1,MIXED
center,cup_inclination,17.95918367346939,1,MIXED
center,cup_inclination,19.591836734693878,1,MIXED
center,cup_inclination,21.224489795918366,1,MIXED
center,cup_inclination,22.857142857142858,1,MIXED
center,cup_inclination,24.48979591836735,1,MIXED
center,cup_inclination,26.122448979591837,1,MIXED
center,cup_inclination,27.755102040816325,1,MIXED
center,cup_inclination,29.387755102040817,1,MIXED
center,cup_inclination,31.02040816326531,0,SAFE
center,cup_inclination,32.6530612244898,0,SAFE
center,cup_inclination,34.285714285714285,0,SAFE
center,cup_inclination,35.91836734693878,0,SAFE
center,cup_inclination,37.55102040816327,0,SAFE
center,cup_inclination,39.183673469387756,0,SAFE
center,cup_inclination,40.816326530612244,0,SAFE
center,cup_inclination,42.44897959183673,0,SAFE
center,cup_inclination,44.08163265306123,0,SAFE
center,cup_inclination,45.714285714285715,0,SAFE
center,cup_inclination,47.3469387755102,0,SAFE
center,cup_inclination,48.9795918367347,0,SAFE
center,cup_inclination,50.61224489795919,1,MIXED
center,cup_inclination,52.244897959183675,1,MIXED
center,cup_inclination,53.87755102040816,1,MIXED
center,cup_inclination,55.51020408163265,1,MIXED
center,cup_inclination,57.142857142857146,1,MIXED
center,cup_inclination,58.775510204081634,1,MIXED
center,cup_inclination,60.40816326530612,1,MIXED
center,cup_inclination,62.04081632653062,1,MIXED
center,cup_inclination,63.673469387755105,1,MIXED
center,cup_inclination,65.3061224489796,1,MIXED
center,cup_inclination,66.93877551020408,1,MIXED
center,cup_inclination,68.57142857142857,1,MIXED
center,cup_inclination,70.20408163265306,1,MIXED
center,cup_inclination,71.83673469387756,1,MIXED
center,cup_inclination,73.46938775510205,1,MIXED
center,cup_inclination,75.10204081632654,1,MIXED
center,cup_inclination,76.73469387755102,1,MIXED
center,cup_inclination,78.36734693877551,1,MIXED
center,cup_inclination,80.0,1,MIXED
center,cup_anteversion,-10.0,1,MIXED
center,cup_anteversion,-8.571428571428571,1,MIXED
center,cup_anteversion,-7.142857142857142,1,MIXED
