total,n_cases,n_patterns,diversity_ratio
0,41,1,0.024390243902439025
6,48,1,0.020833333333333332
12,64,1,0.015625
14,60,1,0.016666666666666666
15,96,1,0.010416666666666666
16,5,1,0.2
18,122,2,0.01639344262295082
19,13,1,0.07692307692307693
20,87,1,0.011494252873563218
21,193,1,0.0051813471502590676
22,8,1,0.125
24,7,1,0.14285714285714285
25,15,1,0.06666666666666667
26,97,1,0.010309278350515464
27,176,1,0.005681818181818182
29,166,1,0.006024096385542169
30,50,3,0.06
31,15,1,0.06666666666666667
32,179,1,0.00558659217877095
33,379,2,0.005277044854881266
34,15,1,0.06666666666666667
35,306,1,0.0032679738562091504
36,108,4,0.037037037037037035
37,34,1,0.029411764705882353
39,28,1,0.03571428571428571
40,30,1,0.03333333333333333
41,330,1,0.0030303030303030303
42,87,3,0.034482758620689655
44,78,2,0.02564102564102564
45,179,3,0.01675977653631285
46,46,2,0.043478260869565216
47,591,1,0.001692047377326565
48,181,4,0.022099447513812154
49,44,1,0.022727272727272728
50,174,3,0.017241379310344827
51,311,4,0.012861736334405145
52,68,2,0.029411764705882353
54,49,2,0.04081632653061224
55,73,1,0.0136986301369863
56,138,3,0.021739130434782608
57,304,3,0.009868421052631578
58,25,1,0.04
59,225,2,0.008888888888888889
60,68,2,0.029411764705882353
61,131,2,0.015267175572519083
62,262,3,0.011450381679389313
63,508,4,0.007874015748031496
64,40,1,0.025
65,419,3,0.007159904534606206
66,111,2,0.018018018018018018
67,223,2,0.008968609865470852
68,21,1,0.047619047619047616
69,146,2,0.0136986301369863
71,446,3,0.006726457399103139
72,57,1,0.017543859649122806
73,104,1,0.009615384615384616
75,219,2,0.0091324200913242
77,811,3,0.0036991368680641184
78,100,1,0.01
79,168,1,0.005952380952380952
81,375,2,0.005333333333333333
83,63,1,0.015873015873015872
87,189,1,0.005291005291005291
93,290,1,0.0034482758620689655
