seed,swept_param,swept_value,total,category
STIFF,pi,25.0,71,HIGH
STIFF,pi,26.3265306122449,71,HIGH
STIFF,pi,27.653061224489797,71,HIGH
STIFF,pi,28.979591836734695,71,HIGH
STIFF,pi,30.306122448979593,71,HIGH
STIFF,pi,31.632653061224488,71,HIGH
STIFF,pi,32.95918367346939,56,WATCH
STIFF,pi,34.285714285714285,56,WATCH
STIFF,pi,35.61224489795919,56,WATCH
STIFF,pi,36.93877551020408,56,WATCH
STIFF,pi,38.265306122448976,56,WATCH
STIFF,pi,39.59183673469388,56,WATCH
STIFF,pi,40.91836734693877,56,WATCH
STIFF,pi,42.244897959183675,56,WATCH
STIFF,pi,43.57142857142857,56,WATCH
STIFF,pi,44.897959183673464,56,WATCH
STIFF,pi,46.224489795918366,56,WATCH
STIFF,pi,47.55102040816327,56,WATCH
STIFF,pi,48.87755102040816,56,WATCH
STIFF,pi,50.20408163265306,56,WATCH
STIFF,pi,51.53061224489796,56,WATCH
STIFF,pi,52.857142857142854,71,HIGH
STIFF,pi,54.183673469387756,71,HIGH
STIFF,pi,55.51020408163265,71,HIGH
STIFF,pi,56.836734693877546,71,HIGH
STIFF,pi,58.16326530612245,71,HIGH
STIFF,pi,59.48979591836734,71,HIGH
STIFF,pi,60.816326530612244,71,HIGH
STIFF,pi,62.14285714285714,71,HIGH
STIFF,pi,63.46938775510204,71,HIGH
STIFF,pi,64.79591836734693,71,HIGH
STIFF,pi,66.12244897959184,71,HIGH
STIFF,pi,67.44897959183673,71,HIGH
STIFF,pi,68.77551020408163,71,HIGH
STIFF,pi,70.10204081632654,71,HIGH
STIFF,pi,71.42857142857142,71,HIGH
STIFF,pi,72.75510204081633,71,HIGH
STIFF,pi,74.08163265306122,71,HIGH
STIFF,pi,75.40816326530611,71,HIGH
STIFF,pi,76.73469387755102,71,HIGH
STIFF,pi,78.06122448979592,71,HIGH
STIFF,pi,79.38775510204081,71,HIGH
STIFF,pi,80.71428571428571,71,HIGH
STIFF,pi,82.0408163265306,71,HIGH
STIFF,pi,83.36734693877551,71,HIGH
STIFF,pi,84.6938775510204,71,HIGH
STIFF,pi,86.0204081632653,71,HIGH
STIFF,pi,87.34693877551021,71,HIGH
STIFF,pi,88.67346938775509,71,HIGH
STIFF,pi,90.0,71,HIGH
STIFF,ll,10.0,71,HIGH
STIFF,ll,11.428571428571429,71,HIGH
STIFF,ll,12.857142857142858,71,HIGH
STIFF,ll,14.285714285714285,71,HIGH
STIFF,ll,15.714285714285715,71,HIGH
STIFF,ll,17.142857142857142,71,HIGH
STIFF,ll,18.57142857142857,71,HIGH
STIFF,ll,20.0,71,HIGH
STIFF,ll,21.42857142857143,71,HIGH
STIFF,ll,22.857142857142858,71,HIGH
STIFF,ll,24.285714285714285,71,HIGH
STIFF,ll,25.714285714285715,71,HIGH
STIFF,ll,27.142857142857142,71,HIGH
STIFF,ll,28.571428571428573,71,HIGH
STIFF,ll,30.0,71,HIGH
STIFF,ll,31.42857142857143,71,HIGH
STIFF,ll,32.85714285714286,71,HIGH
STIFF,ll,34.285714285714285,71,HIGH
STIFF,ll,35.714285714285715,71,HIGH
STIFF,ll,37.14285714285714,71,HIGH
STIFF,ll,38.57142857142857,71,HIGH
STIFF,ll,40.0,71,HIGH
STIFF,ll,41.42857142857143,71,HIGH
STIFF,ll,42.85714285714286,71,HIGH
STIFF,ll,44.285714285714285,71,HIGH
STIFF,ll,45.714285714285715,71,HIGH
STIFF,ll,47.142857142857146,71,HIGH
STIFF,ll,48.57142857142857,56,WATCH
STIFF,ll,50.0,56,WATCH
STIFF,ll,51.42857142857143,56,WATCH
STIFF,ll,52.85714285714286,56,WATCH
STIFF,ll,54.285714285714285,56,WATCH
STIFF,ll,55.714285714285715,56,WATCH
STIFF,ll,57.142857142857146,56,WATCH
STIFF,ll,58.57142857142857,56,WATCH
STIFF,ll,60.0,56,WATCH
STIFF,ll,61.42857142857143,56,WATCH
STIFF,ll,62.85714285714286,56,WATCH
STIFF,ll,64.28571428571428,56,WATCH
STIFF,ll,65.71428571428572,56,WATCH
STIFF,ll,67.14285714285714,56,WATCH
STIFF,ll,68.57142857142857,71,HIGH
STIFF,ll,70.0,71,HIGH
STIFF,ll,71.42857142857143,71,HIGH
STIFF,ll,72.85714285714286,71,HIGH
STIFF,ll,74.28571428571429,71,HIGH
STIFF,ll,75.71428571428572,71,HIGH
STIFF,ll,77.14285714285714,71,HIGH
STIFF,ll,78.57142857142857,71,HIGH
STIFF,ll,80.0,71,HIGH
STIFF,ss_standing,15.0,87,HIGH
STIFF,ss_standing,15.918367346938776,87,HIGH
STIFF,ss_standing,16.836734693877553,87,HIGH
STIFF,ss_standing,17.755102040816325,87,HIGH
STIFF,ss_standing,18.6734693877551,87,HIGH
STIFF,ss_standing,19.591836734693878,87,HIGH
STIFF,ss_standing,20.510204081632654,87,HIGH
STIFF,ss_standing,21.42857142857143,87,HIGH
STIFF,ss_standing,22.346938775510203,71,HIGH
STIFF,ss_standing,23.26530612244898,71,HIGH
STIFF,ss_standing,24.183673469387756,71,HIGH
