,S1,ST,S1_conf,ST_conf
pi,-0.0021975646562776632,0.09151963047005156,0.03979087954254425,0.012275687137726967
ll,-0.020243355763151054,0.09421138430740601,0.034546663849294966,0.013255996874157386
ss_standing,0.027502270489688636,0.5616553740271869,0.08711887190654685,0.07211481220139095
ss_sitting,0.1575389403082931,0.677336186941332,0.09339278704538485,0.0868452962741972
pt_standing,0.0,0.0,0.0,0.0
cup_anteversion,0.01984388500681804,0.1394926655269021,0.04755846903835981,0.019799728327893316
cup_inclination,0.0,0.0,0.0,0.0
femoral_version,0.01810019864862929,0.11114431044692379,0.04026206881992818,0.01272288307029652
conf_fv,0.09457746282928622,0.08200158890116618,0.03179177824636525,0.01062796383413667
conf_overall,0.0150163974073214,0.020500397225291546,0.019078614965959424,0.0025159154517596987
