pi,ll,ss_standing,ss_sitting,pt_standing,cup_anteversion,cup_inclination,femoral_version,conf_fv,conf_overall,total,d_delta_ss_stiff,d_delta_ss_hyper,d_pi_ll_mismatch,d_comb_vers_oob,d_low_sit_av_stiff,d_low_sit_av_hyper,d_high_sit_av_stiff,d_mob_stiff,d_mob_hyper,d_deep_flex,d_sit_to_stand,d_uncert_fv,d_uncert_overall,category
75.30714315613761,40.72149078264366,53.63690639601221,36.842081743561835,-5.291132605617523,43.90300582365402,51.63988956966236,42.8851444221563,0.3896795428728821,0.615270156526897,47,0,0,15,14,0,0,0,0,0,0,0,12,6,WATCH
49.101871575117784,74.87354921940212,43.97393040362991,44.3656967962498,12.170709941366557,10.22574248031496,44.41046754555422,-14.894619511665974,0.8793418203948073,0.7421650793854453,81,20,0,15,14,16,0,0,10,0,0,0,0,6,HIGH
74.2757031055493,34.81681776909079,58.68141109777065,48.58726727933186,28.91917485368809,8.758741853338542,41.33523513044619,-16.495698737021698,0.40800264444728346,0.7781342672697182,41,0,0,15,14,0,0,0,0,0,0,0,12,0,WATCH
73.40954013400811,77.7256812703947,29.662141116216837,17.227582362092132,13.477790563790396,8.526211158792856,29.54725268674151,18.056394098074698,0.4588365443356188,0.7688697962777572,26,0,0,0,14,0,0,0,0,0,0,0,12,0,LOW
53.4148747267015,68.28747372404862,46.51192959010121,13.741998482922465,31.612990069760052,36.214396087356086,38.561743266056105,3.0662483144195285,0.7777468527824828,0.39782673852651684,51,0,18,15,0,0,0,0,0,8,4,0,0,6,WATCH
37.99403316088204,10.515358882570386,50.411596987596226,34.89105139552193,25.258268931316756,35.13280639598855,41.062052143841896,25.499295676231498,0.39785789868936017,0.3801710514751814,33,0,0,15,0,0,0,0,0,0,0,0,12,6,WATCH
68.44619251638065,42.97673443001928,40.435624791653495,40.89993144496154,21.73591600002954,24.911073029609813,44.57225062608947,4.316007845008976,0.3215724841975576,0.6057021724626537,77,20,0,15,14,0,0,0,10,0,0,0,12,6,HIGH
38.948003733269395,38.59700506072453,53.40313829706748,9.036369151920445,-7.084862915546699,12.662275140989845,35.27578152183393,32.953321178151604,0.6899225066388948,0.8487287463744895,46,0,18,0,0,0,0,0,0,8,4,4,12,0,WATCH
68.1803801212802,38.44708030080494,51.63091730997156,5.018375194462234,-8.864396343306977,4.052153734903879,50.28257727087576,16.950178420110987,0.41289024532352125,0.6507313425723544,81,0,18,15,14,0,0,0,0,8,4,4,12,6,HIGH
34.90028667635595,58.74242625544152,35.077032400831385,17.86127356578895,5.075604457393826,28.36271669034998,37.66344136936866,-12.98800645471192,0.3826041314843607,0.97332836518466,41,0,0,15,14,0,0,0,0,0,0,0,12,0,WATCH
84.05774489599446,58.97949936675247,26.964148265678382,53.15058264086343,28.937545198289733,32.2600585121548,40.72765257503261,1.7793249476127215,0.36747367350744947,0.9318216775806891,71,20,0,15,14,0,0,0,10,0,0,0,12,0,HIGH
54.62545883918472,24.16543553566612,28.768048086779363,29.753174136513756,-1.1613608530384152,38.5476427841569,51.54818354423235,37.55703647607494,0.6024651278425726,0.7391161884917101,77,20,0,15,14,0,0,0,10,0,0,0,12,6,HIGH
62.96636797932781,55.4892621088374,18.79999445129501,19.948444130236577,-7.919291306905376,22.229586866003352,36.545142431647484,-8.438064890716248,0.3723820774057861,0.7113512005243984,62,20,0,0,14,0,0,0,10,0,0,0,12,6,HIGH
36.0885429548976,74.7584082863758,41.147751286517774,15.812188272090225,19.545774574070837,1.0261741963363873,58.54957246345059,18.584274955432022,0.8479146590752002,0.35791099994570696,35,0,0,15,14,0,0,0,0,0,0,0,0,6,WATCH
56.63279150448042,44.34948960481646,57.202190473874225,29.303683142564523,13.674470052847692,12.013904839135211,36.60491490698933,21.65379219772302,0.6072380222135326,0.3151284559162313,47,0,0,15,14,0,0,0,0,0,0,0,12,6,WATCH
78.70897507263325,72.73125402878367,21.311209004937485,28.242168612342965,-4.571212943227822,30.250804186791527,34.84318243436529,32.75381077535214,0.8088962300008178,0.8380532443423598,30,20,0,0,0,0,0,0,10,0,0,0,0,0,WATCH
32.003161487133276,74.12082915963255,25.359629590269638,-2.7552466294292133,17.74262346957417,16.691502773809745,54.042641009634465,44.66011776514415,0.5219972249759007,0.9670295765488215,31,0,0,15,0,0,0,0,0,0,4,0,12,0,WATCH
